NAME,COMPANY,LOCATION,SALARY,CLASSIFICATION,FIND,MIN,MAX,Average
Outgoing Community Manager Wanted,Copiosa,Remote,35000 - 40000,community managernon techsocial mediaremote,7,35000,40000,37500
Head of Growth Digital Marketing,Sardine,United States,180000 - 240000,executivemarketingnon tech,8,180000,240000,210000
Crypto Data Analytics: Social Media Content Manager (INTERN),Mr. SNARK,"Nashville,United States",15000 - 20000,statsmarketingnon techcopywritingintern,7,15000,20000,17500
"Product Manager, UX",Poloniex,"Boston,United States",80000 - 100000,product managernon techdesignnft,7,80000,100000,90000
Web3 Content Manager,Nike,"Los Angeles,United States",130000 - 190000,marketingnon techcopywritingnftmetaverse,8,130000,190000,160000
Marketing & Brand Partnerships Manager,coto,"Cairo,Egypt",55000 - 70000,salesnon techmarketing,7,55000,70000,62500
Senior Product Manager,Violet,Remote,100000 - 140000,product managernon techseniordefiremote,8,100000,140000,120000
Institutional Sales,Prime Trust,United States,100000 - 150000,salesnon tech,8,100000,150000,125000
Web3 (Senior) UI/UX Designer,Scio Labs,"New York,United States",60000 - 80000,designnon techseniorremote,7,60000,80000,70000
Crypto/Web3 Communications Manager,Ultra Evolution,Canada,80000 - 160000,marketingnon techcryptoethereum,7,80000,160000,120000
