NAME,COMPANY,LOCATION,SALARY,CLASSIFICATION,FIND,MIN,MAX,Average
Senior Full Stack Engineer,Arda,Remote,20000-90000,devfull stackseniorreactsolidity,6,20000,90000,55000
Blockchain Architect / Lead,Lamina1,"Los Angeles,United States",180000-225000,architectureremotesoliditynode,7,180000,225000,202500
Advisor in NFT and Blockchain Market,Gallery.online,"San Francisco,United States",60000-70000,devsmart contract,6,60000,70000,65000
Senior Smart Contract Engineer - NFT Play-to-Earn Game,Bit Hotel,United States,80000-150000,analystdefiremote,6,80000,150000,115000
Blockchain Engineer,Alpha5,Remote,80000-150000,leadblockchainsoliditysolanaethereum,6,80000,150000,115000
Web3 Developer Relation / Technical BD,Hippo Labs,Remote,50000-120000,executiveblockchainarchitecturebackendproduct manager,6,50000,120000,85000
Backend & Devops Engineer - DeFi,Brahma.fi,Brazil,50000-100000,devrustseniorsoliditysolana,6,50000,100000,75000
Community Manager,DeFi Basket,Brazil,40000-51000,devrustseniorsolidityjavascript,6,40000,51000,45500
"Director of Business Operations & Strategy, Corporate",Burnt Finance,"New York,United States",150000-230000,devfront endseniorremote,7,150000,230000,190000
Senior Frontend Engineer,MomentRanks,Remote,180000-240000,devseniorsolidityhardhatremix,7,180000,240000,210000
